Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,clean_text,label
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out..., rt  as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out,0
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!, rt  boy dats coldtyga dwn bad for cuffin dat hoe in the st place,1
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny, rt   she look like a tranny,1
26,3,0,3,0,1,""" hoe what its hitting for """, hoe what its hitting for ,1
42,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U", nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick ,1
57,3,0,3,0,1,"""&amp; he's gone always be a hoe""",amp hes gone always be a hoe,1
63,3,0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad", simplyaddictedtoguys  woof woof hot scally lad,0
66,3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",  woof woof and hot soles,0
67,3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol", lemmie eat a oreo amp do these dishes one oreo lol,0
70,3,0,0,3,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao", why the eggplant emoji doey he say she looked like scream lmao,0
75,3,0,1,2,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"," baby monkey bathtime 
awwwwe this is soooo adorable",0
76,3,0,3,0,1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",  i aint shit  damn skippy lol,1
83,3,1,2,0,1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe", wow rt  im lost are those buttcheek piercings  yeah shes a hoe,1
85,3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",   queer gaywad,1
87,3,0,3,0,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",  faggot read my tweets after dat k it wasnt even funny lol,1
